N,종목명,현재가,전일비,등락률,액면가,매출액,영업이익,PER,ROE
1.0,삼성전자,73500.0,보합0,0.00%,100.0,2589355.0,65670.0,25.35,4.15
2.0,SK하이닉스,189200.0,"하락  6,500",-3.32%,5000.0,327657.0,-77303.0,-29.86,-15.61
3.0,LG에너지솔루션,331000.0,"상승  3,000",+0.91%,500.0,337455.0,21632.0,105.21,6.36
4.0,현대차,253000.0,"하락  4,000",-1.56%,5000.0,1626636.0,151269.0,5.84,13.68
5.0,삼성바이오로직스,730000.0,"하락  2,000",-0.27%,2500.0,36946.0,11137.0,58.03,9.12
6.0,삼성전자우,60300.0,하락  500,-0.82%,100.0,,,20.8,
7.0,기아,117700.0,보합0,0.00%,5000.0,998084.0,116079.0,5.0,20.44
8.0,셀트리온,176200.0,"하락  1,100",-0.62%,1000.0,21764.0,6515.0,74.03,5.07
9.0,KB금융,79400.0,상승  700,+0.89%,5000.0,774828.0,64353.0,6.94,8.44
10.0,POSCO홀딩스,369000.0,하락  500,-0.14%,5000.0,771272.0,35314.0,20.63,3.18
11.0,NAVER,170200.0,하락  200,-0.12%,100.0,96706.0,14888.0,18.95,4.41
12.0,삼성SDI,374500.0,"하락  4,500",-1.19%,5000.0,227083.0,16334.0,14.3,11.48
13.0,LG화학,351500.0,"상승  1,000",+0.29%,5000.0,552498.0,25292.0,27.51,4.2
14.0,삼성물산,135100.0,"하락  1,200",-0.88%,100.0,418957.0,28702.0,11.15,7.28
15.0,신한지주,47150.0,"상승  1,150",+2.50%,5000.0,394329.0,61009.0,5.61,8.36
16.0,현대모비스,214500.0,하락  500,-0.23%,5000.0,592544.0,22953.0,5.86,8.73
17.0,포스코퓨처엠,250500.0,상승  500,+0.20%,500.0,47599.0,359.0,390.19,1.19
18.0,카카오,43300.0,하락  350,-0.80%,100.0,75570.0,4609.0,-18.94,-10.26
19.0,하나금융지주,61700.0,상승  800,+1.31%,5000.0,696936.0,46934.0,5.31,9.01
20.0,LG전자,104800.0,"하락  1,500",-1.41%,5000.0,842278.0,35491.0,26.45,3.69
21.0,삼성생명,84300.0,하락  900,-1.06%,500.0,309370.0,23984.0,8.9,4.95
22.0,삼성화재,348500.0,"상승  7,000",+2.05%,500.0,208247.0,23573.0,9.69,12.73
23.0,한미반도체,161700.0,"하락  3,600",-2.18%,100.0,1590.0,346.0,77.29,55.54
24.0,메리츠금융지주,76900.0,상승  800,+1.05%,500.0,585584.0,29335.0,7.34,28.11
25.0,두산에너빌리티,20800.0,상승  200,+0.97%,5000.0,175899.0,14673.0,102.46,0.78
26.0,SK,176200.0,"상승  18,100",+11.45%,200.0,1312379.0,50564.0,-17.52,-3.67
27.0,LG,81300.0,상승  200,+0.25%,5000.0,74453.0,15890.0,11.31,4.89
28.0,한국전력,19450.0,상승  380,+1.99%,5000.0,882195.0,-45416.0,18.21,-12.63
29.0,HMM,18000.0,하락  180,-0.99%,5000.0,84010.0,5848.0,8.92,4.59
30.0,크래프톤,250000.0,"하락  1,000",-0.40%,100.0,19106.0,7680.0,17.89,11.16
31.0,삼성에스디에스,153200.0,"하락  1,500",-0.97%,500.0,132768.0,8082.0,16.89,8.22
32.0,삼성전기,155000.0,"하락  1,600",-1.02%,5000.0,89094.0,6394.0,24.32,5.5
33.0,HD현대중공업,128700.0,"하락  3,400",-2.57%,5000.0,119639.0,1786.0,154.69,0.47
34.0,아모레퍼시픽,194200.0,"상승  6,200",+3.30%,500.0,36740.0,1082.0,78.21,3.72
35.0,고려아연,527000.0,"상승  10,000",+1.93%,5000.0,97045.0,6599.0,21.79,5.72
